网络: resnet50, 层数: 0
['DRAM', 'GlobalBuffer', 'InputBuffer', 'WeightBuffer', 'AccumulationBuffer', 'Registers'] [1, 1, 16, 16, 16, 1024, 1024] [inf, 65536, 8192, 32768, 3072, 1]
[1, 16, 1, 1, 64, 1]
100
Generation 0 当前最优解: [-11300.]
Generation 1 当前最优解: [-1100.]
Generation 2 当前最优解: [-1100.]
Generation 3 当前最优解: [-1100.]
Generation 4 当前最优解: [-1100.]
Generation 5 当前最优解: [-581.]
Generation 6 当前最优解: [-581.]
Generation 7 当前最优解: [-551.]
Generation 8 当前最优解: [-551.]
Generation 9 当前最优解: [-551.]
Generation 10 当前最优解: [-551.]
Generation 11 当前最优解: [-446.]
Generation 12 当前最优解: [-446.]
Generation 13 当前最优解: [-446.]
Generation 14 当前最优解: [-446.]
Generation 15 当前最优解: [-446.]
Generation 16 当前最优解: [-446.]
Generation 17 当前最优解: [-446.]
Generation 18 当前最优解: [-446.]
Generation 19 当前最优解: [-446.]
Generation 20 当前最优解: [-371.]
Generation 21 当前最优解: [-371.]
Generation 22 当前最优解: [-371.]
Generation 23 当前最优解: [-371.]
Generation 24 当前最优解: [-371.]
Generation 25 当前最优解: [-371.]
Generation 26 当前最优解: [-371.]
Generation 27 当前最优解: [-371.]
Generation 28 当前最优解: [-371.]
Generation 29 当前最优解: [-369.]
Generation 30 当前最优解: [-369.]
Generation 31 当前最优解: [-369.]
Generation 32 当前最优解: [-369.]
Generation 33 当前最优解: [-369.]
Generation 34 当前最优解: [-369.]
Generation 35 当前最优解: [-369.]
Generation 36 当前最优解: [-369.]
Generation 37 当前最优解: [-369.]
Generation 38 当前最优解: [-369.]
Generation 39 当前最优解: [-369.]
Generation 40 当前最优解: [-369.]
Generation 41 当前最优解: [-369.]
Generation 42 当前最优解: [-369.]
Generation 43 当前最优解: [-369.]
Generation 44 当前最优解: [-369.]
Generation 45 当前最优解: [-369.]
Generation 46 当前最优解: [-369.]
Generation 47 当前最优解: [-369.]
Generation 48 当前最优解: [-369.]
Generation 49 当前最优解: [-369.]
Generation 50 当前最优解: [-369.]
Generation 51 当前最优解: [-369.]
Generation 52 当前最优解: [-369.]
Generation 53 当前最优解: [-369.]
Generation 54 当前最优解: [-369.]
Generation 55 当前最优解: [-369.]
Generation 56 当前最优解: [-369.]
Generation 57 当前最优解: [-369.]
Generation 58 当前最优解: [-369.]
Generation 59 当前最优解: [-369.]
Generation 60 当前最优解: [-369.]
Generation 61 当前最优解: [-369.]
Generation 62 当前最优解: [-369.]
Generation 63 当前最优解: [-369.]
Generation 64 当前最优解: [-369.]
Generation 65 当前最优解: [-369.]
Generation 66 当前最优解: [-369.]
Generation 67 当前最优解: [-369.]
Generation 68 当前最优解: [-369.]
Generation 69 当前最优解: [-369.]
Generation 70 当前最优解: [-369.]
Generation 71 当前最优解: [-369.]
Generation 72 当前最优解: [-369.]
Generation 73 当前最优解: [-369.]
Generation 74 当前最优解: [-369.]
Generation 75 当前最优解: [-369.]
Generation 76 当前最优解: [-369.]
Generation 77 当前最优解: [-369.]
Generation 78 当前最优解: [-369.]
Generation 79 当前最优解: [-369.]
Generation 80 当前最优解: [-369.]
Generation 81 当前最优解: [-369.]
Generation 82 当前最优解: [-369.]
Generation 83 当前最优解: [-369.]
Generation 84 当前最优解: [-369.]
Generation 85 当前最优解: [-369.]
Generation 86 当前最优解: [-369.]
Generation 87 当前最优解: [-369.]
Generation 88 当前最优解: [-369.]
Generation 89 当前最优解: [-369.]
Generation 90 当前最优解: [-369.]
Generation 91 当前最优解: [-369.]
Generation 92 当前最优解: [-369.]
Generation 93 当前最优解: [-369.]
Generation 94 当前最优解: [-369.]
Generation 95 当前最优解: [-369.]
Generation 96 当前最优解: [-369.]
Generation 97 当前最优解: [-369.]
Generation 98 当前最优解: [-369.]
Generation 99 当前最优解: [-369.]
Generation 100 当前最优解: [-369.]
Generation 101 当前最优解: [-369.]
Generation 102 当前最优解: [-369.]
Generation 103 当前最优解: [-369.]
Generation 104 当前最优解: [-369.]
Generation 105 当前最优解: [-369.]
Generation 106 当前最优解: [-369.]
Generation 107 当前最优解: [-369.]
Generation 108 当前最优解: [-369.]
Generation 109 当前最优解: [-369.]
Generation 110 当前最优解: [-369.]
Generation 111 当前最优解: [-369.]
Generation 112 当前最优解: [-369.]
Generation 113 当前最优解: [-369.]
Generation 114 当前最优解: [-369.]
Generation 115 当前最优解: [-369.]
Generation 116 当前最优解: [-369.]
Generation 117 当前最优解: [-369.]
Generation 118 当前最优解: [-369.]
Generation 119 当前最优解: [-369.]
Generation 120 当前最优解: [-369.]
Generation 121 当前最优解: [-369.]
Generation 122 当前最优解: [-369.]
Generation 123 当前最优解: [-369.]
Generation 124 当前最优解: [-369.]
Generation 125 当前最优解: [-369.]
